field_type,ID,ID,Location,Date,Time,Comments,Numeric,Numeric,Comments
description,Point count location,Audio file ID,Location in the SAFE landscape,Date of recording,Time of recording,Weather conditions of recording,Research assistant,Research assistant,Notes
units,,,,dd/mm/yy,hh:mm:ss,,Binary,Binary,
method,,,,,,Observation,Research assistant,Research assistant,
field_name,Point_count_ID,Audio_file,Site,Date,Time,Weather,Adi_Syamin,Jani,Notes
195,18_05_05_5,PC0000_0200,VJR 1,5/5/2018,03:00:00 AM,dark,1,1,NA
196,18_05_05_6,PC0000_0201,VJR 1,5/5/2018,04:00:00 AM,dark,1,1,NA
197,18_05_14_1,PC0000_0203,Riparian 2,5/14/2018,10:00:00 AM,sunny - cold,1,0,NA
198,18_05_14_2,PC0000_0204,Riparian 2,5/14/2018,11:00:00 AM,sunny - cold,1,0,NA
199,18_05_14_3,PC0000_0205,Riparian 2,5/14/2018,12:00:00 PM,cloudy - cold,1,0,NA
200,18_05_14_4,PC0000_0206,Riparian 2,5/14/2018,01:00:00 PM,cloudy - cold,1,0,NA
201,18_05_14_5,PC0000_0207,Riparian 2,5/14/2018,02:00:00 PM,sunny - cold,1,0,NA
202,18_05_14_6,PC0000_0208,Riparian 2,5/14/2018,03:00:00 PM,sunny - cold,1,0,NA
203,18_05_15_1,PC0000_0209,D Matrix,5/15/2018,09:00:00 PM,dark,1,0,stop halfway; running out of battery
204,18_05_15_2,PC0000_0210,D Matrix,5/15/2018,10:00:00 PM,dark,1,0,NA
205,18_05_15_3,PC0000_0211,D Matrix,5/15/2018,11:00:00 PM,dark,1,0,NA
206,18_05_15_4,PC0000_0213,D Matrix,5/16/2018,12:00:00 AM,dark,1,0,NA
207,18_05_15_5,PC0000_0214,D Matrix,5/16/2018,01:00:00 AM,dark,1,0,NA
208,18_05_15_6,PC0000_0215,D Matrix,5/16/2018,02:00:00 AM,dark,1,0,NA
209,18_05_16_1,PC0000_0216,B10,5/16/2018,09:00:00 PM,dark,1,0,NA
210,18_05_16_2,PC0000_0217,B10,5/16/2018,10:00:00 PM,dark,1,0,NA
211,18_05_16_3,PC0000_0218,B10,5/16/2018,11:00:00 PM,dark,1,0,NA
212,18_05_16_4,PC0000_0219,B10,5/17/2018,12:00:00 AM,dark,1,0,NA
213,18_05_16_5,PC0000_0220,B10,5/17/2018,01:00:00 AM,dark,1,0,NA
214,18_05_16_6,PC0000_0221,B10,5/17/2018,02:00:00 AM,dark,1,0,NA
215,18_05_18_1,PC0000_0222,E1 648,5/18/2018,09:00:00 PM,dark,1,1,NA
216,18_05_18_2,PC0000_0223,E1 648,5/18/2018,10:00:00 PM,dark,1,1,NA
217,18_05_18_3,PC0000_0224,E1 648,5/18/2018,11:00:00 PM,dark,1,1,NA
218,18_05_18_4,PC0000_0225,E1 648,5/19/2018,12:00:00 AM,dark,1,1,NA
219,18_05_18_5,PC0000_0226,E1 648,5/19/2018,01:00:00 AM,dark,1,1,NA
220,18_05_18_6,PC0000_0227,E1 648,5/19/2018,02:00:00 AM,dark,1,1,NA
221,18_05_20_1,PC0000_0228,D Matrix,5/20/2018,03:00:00 AM,dark,1,1,NA
222,18_05_20_2,PC0000_0229,D Matrix,5/20/2018,04:00:00 AM,dark,1,1,NA
223,18_05_20_3,PC0000_0230,D Matrix,5/20/2018,05:00:00 AM,dark,1,1,NA
224,18_05_20_4,PC0000_0231,D Matrix,5/20/2018,06:00:00 AM,sunny - cold,1,1,NA
225,18_05_20_5,PC0000_0232,D Matrix,5/20/2018,07:00:00 AM,sunny,1,1,NA
226,18_05_20_6,PC0000_0233,D Matrix,5/20/2018,08:00:00 AM,sunny,1,1,NA
227,18_05_21_1,PC0000_0234,C Matrix,5/21/2018,03:00:00 PM,cloudy - cold,1,0,NA
228,18_05_21_2,PC0000_0235,C Matrix,5/21/2018,04:00:00 PM,cloudy - cold,1,0,NA
229,18_05_21_3,PC0000_0236,C Matrix,5/21/2018,05:00:00 PM,cloudy - cold,1,0,NA
230,18_05_21_4,PC0000_0237,C Matrix,5/21/2018,06:00:00 PM,cloudy - cold,1,0,NA
231,18_05_21_5,PC0000_0238,C Matrix,5/21/2018,07:00:00 PM,dark,1,0,NA
232,18_05_21_6,PC0000_0239,C Matrix,5/21/2018,08:00:00 PM,dark,1,0,NA
233,18_05_22_1,AD0000_0035,B10,5/22/2018,03:00:00 AM,dark,1,0,NA
234,18_05_22_2,AD0000_0036,B10,5/22/2018,04:00:00 AM,dark,1,0,NA
235,18_05_22_3,AD0000_0037,B10,5/22/2018,05:00:00 AM,dark,1,0,NA
236,18_05_22_4,AD0000_0038,B10,5/22/2018,06:00:00 AM,dusk,1,0,NA
237,18_05_22_5,AD0000_0039,B10,5/22/2018,07:00:00 AM,sunny,1,0,NA
238,18_05_22_6,AD0000_0040,B10,5/22/2018,08:00:00 AM,sunny,1,0,NA
239,18_05_23_1,PC0000_0240,Riparian 2,5/23/2018,10:00:00 AM,NA,1,1,NA
240,18_05_23_2,PC0000_0241,Riparian 2,5/23/2018,11:00:00 AM,NA,1,1,NA
241,18_05_23_3,PC0000_0242,Riparian 2,5/23/2018,12:00:00 PM,NA,1,1,NA
242,18_05_23_4,PC0000_0243,Riparian 2,5/23/2018,01:00:00 PM,NA,1,1,NA
243,18_05_23_5,PC0000_0244,Riparian 2,5/23/2018,02:00:00 PM,NA,1,1,NA
244,18_05_23_6,PC0000_0245,Riparian 2,5/23/2018,03:00:00 PM,NA,1,1,NA
245,18_05_24_1,PC0000_0246,D100 641,5/24/2018,03:00:00 AM,dark,1,1,NA
246,18_05_24_2,PC0000_0247,D100 641,5/24/2018,04:00:00 AM,dark,1,1,NA
247,18_05_24_3,PC0000_0248,D100 641,5/24/2018,05:00:00 AM,dark,1,1,NA
248,18_05_24_4,PC0000_0249,D100 641,5/24/2018,06:00:00 AM,dusk,1,1,NA
249,18_05_24_5,PC0000_0250,D100 641,5/24/2018,07:00:00 AM,sunny,1,1,NA
250,18_05_24_6,PC0000_0251,D100 641,5/24/2018,08:00:00 AM,sunny,1,1,NA
251,18_05_25_1,PC0000_0252,C10 621,5/25/2018,03:00:00 AM,dark,1,1,NA
252,18_05_25_2,PC0000_0253,C10 621,5/25/2018,04:00:00 AM,dark,1,1,NA
253,18_05_25_3,PC0000_0254,C10 621,5/25/2018,05:00:00 AM,dark,1,1,NA
254,18_05_25_4,PC0000_0255,C10 621,5/25/2018,06:00:00 AM,dusk,1,1,NA
255,18_05_25_5,PC0000_0256,C10 621,5/25/2018,07:00:00 AM,sunny,1,1,NA
